fid,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,JOIN_KEY,GISJOIN,WHITE,BLACK,TOTPOP,POC
802,"17","031","672000","17031672000","6720",Census Tract 6720,G5020,S,995092,0,"+41.7611983",-087.6711281,"17031672000",G17031672000,18,2673,3397,3379
803,"17","031","710900","17031710900","7109",Census Tract 7109,G5020,S,990948,0,"+41.7421461",-087.6396893,"17031710900",G17031710900,0,1854,1942,1942
804,"17","031","711000","17031711000","7110",Census Tract 7110,G5020,S,654358,0,"+41.7396436",-087.6485811,"17031711000",G17031711000,19,2871,3058,3039
805,"17","031","711100","17031711100","7111",Census Tract 7111,G5020,S,653926,0,"+41.7395016",-087.6583002,"17031711100",G17031711100,2,2349,2499,2497
806,"17","031","711200","17031711200","7112",Census Tract 7112,G5020,S,1102231,0,"+41.7405561",-087.6698252,"17031711200",G17031711200,21,4454,4687,4666
807,"17","031","711500","17031711500","7115",Census Tract 7115,G5020,S,649295,0,"+41.7324402",-087.6386888,"17031711500",G17031711500,5,2234,2372,2367
808,"17","031","711300","17031711300","7113",Census Tract 7113,G5020,S,350019,0,"+41.7335044",-087.6672855,"17031711300",G17031711300,10,1354,1462,1452
809,"17","031","711400","17031711400","7114",Census Tract 7114,G5020,S,745157,0,"+41.7336614",-087.6521168,"17031711400",G17031711400,10,2246,2394,2384
814,"17","031","350100","17031350100","3501",Census Tract 3501,G5020,S,567876,518735,"+41.8402590",-087.6079492,"17031350100",G17031350100,176,1029,2228,2052
815,"17","031","350400","17031350400","3504",Census Tract 3504,G5020,S,201454,0,"+41.8419291",-087.6283695,"17031350400",G17031350400,20,1371,1512,1492
816,"17","031","351000","17031351000","3510",Census Tract 3510,G5020,S,821383,665632,"+41.8355675",-087.6065282,"17031351000",G17031351000,269,2569,3640,3371
817,"17","031","351400","17031351400","3514",Census Tract 3514,G5020,S,323957,0,"+41.8274019",-087.6240909,"17031351400",G17031351400,42,1219,1392,1350
818,"17","031","360200","17031360200","3602",Census Tract 3602,G5020,S,232044,0,"+41.8268855",-087.6098876,"17031360200",G17031360200,13,1548,1651,1638
819,"17","031","430400","17031430400","4304",Census Tract 4304,G5020,S,547730,0,"+41.7621961",-087.5903098,"17031430400",G17031430400,49,2827,3031,2982
820,"17","031","430600","17031430600","4306",Census Tract 4306,G5020,S,333359,0,"+41.7644133",-087.5713730,"17031430600",G17031430600,43,1510,1670,1627
821,"17","031","430800","17031430800","4308",Census Tract 4308,G5020,S,328071,0,"+41.7607500",-087.5712983,"17031430800",G17031430800,24,1754,1862,1838
822,"17","031","430500","17031430500","4305",Census Tract 4305,G5020,S,342833,0,"+41.7643139",-087.5812700,"17031430500",G17031430500,26,3853,4098,4072
823,"17","031","430900","17031430900","4309",Census Tract 4309,G5020,S,336518,0,"+41.7606410",-087.5811851,"17031430900",G17031430900,13,1725,1797,1784
824,"17","031","610300","17031610300","6103",Census Tract 6103,G5020,S,2383657,0,"+41.8161779",-087.6751022,"17031610300",G17031610300,266,215,5410,5144
825,"17","031","681000","17031681000","6810",Census Tract 6810,G5020,S,652467,0,"+41.7760398",-087.6495479,"17031681000",G17031681000,31,2370,2573,2542
826,"17","031","681100","17031681100","6811",Census Tract 6811,G5020,S,652438,0,"+41.7687665",-087.6493595,"17031681100",G17031681100,30,2669,2873,2843
827,"17","031","680500","17031680500","6805",Census Tract 6805,G5020,S,326856,0,"+41.7905639",-087.6523524,"17031680500",G17031680500,9,1114,1307,1298
831,"17","031","680900","17031680900","6809",Census Tract 6809,G5020,S,1032879,0,"+41.7764305",-087.6376304,"17031680900",G17031680900,25,3325,3573,3548
840,"17","031","720100","17031720100","7201",Census Tract 7201,G5020,S,1965312,0,"+41.7276164",-087.6747355,"17031720100",G17031720100,1910,1101,3344,1434
842,"17","031","720200","17031720200","7202",Census Tract 7202,G5020,S,1672473,0,"+41.7130417",-087.6660545,"17031720200",G17031720200,1422,2254,4131,2709
843,"17","031","720300","17031720300","7203",Census Tract 7203,G5020,S,1264753,0,"+41.7139198",-087.6771439,"17031720300",G17031720300,2098,1129,3637,1539
