GISJOIN,YEAR,FSTATUS,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,BLOCKA,EDINDA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,MCDSEQNO,SEA,UATYPE,PLACDESC,CBD,INDSUBR,LONGITUD,LATITUDE,LANDAREA,AREANAME,SUPFLG01,SUPFLG02,SUPFLG03,SUPFLG04,SUPFLG05,SUPFLG06,SUPFLG07,SUPFLG08,SUPFLG09,SUPFLG10,SUPFLG11,SUPFLG12,SUPFLG13,SUPFLG14,SUPFLG15,SUPFLG16,SUPFLG17,SUPFLG18,SUPFLG19,SUPFLG20,SUPFLG21,C9D001,C9D002,C9D003,C9D004,C9D005,C9D006,C9D007,C9D008,C9D009,C9D010,C9D011,C9D012,C9D013,C9D014,C9D015,C9F001,C9G001,C9G002,C9G003,C9G004
"G1201290","1980","A","3","5","Florida","12","8240","Wakulla","129",,,,,,,,,,,,,"01",,,,,,,,"WAKULLA COUNTY","0","0","0","0","1","0","0","1","0","0","0","0","0","1","1","0","0","0","0","1","0",9048,1786,34,1,0,2,0,4,1,0,3,1,0,0,7,103,100,1,1,1
"G1201310","1980","A","3","5","Florida","12",,"Walton","131",,,,,,,,,,,,,"01",,,,,,,,"WALTON COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",18910,2051,217,1,0,21,7,12,1,3,24,3,0,0,50,173,143,16,2,12
"G1201330","1980","A","3","5","Florida","12",,"Washington","133",,,,,,,,,,,,,"01",,,,,,,,"WASHINGTON COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",12083,2282,94,0,0,8,0,4,1,0,0,2,1,0,34,115,85,15,6,9
"G1300010","1980","A","3","5","Georgia","13",,"Appling","001",,,,,,,,,,,,,"08",,,,,,,,"APPLING COUNTY","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1",12381,3137,12,0,0,1,0,7,0,14,0,0,2,0,11,124,72,34,9,9
"G1300030","1980","A","3","5","Georgia","13",,"Atkinson","003",,,,,,,,,,,,,"08",,,,,,,,"ATKINSON COUNTY","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0",4438,1691,0,0,0,1,2,0,1,7,0,0,0,0,1,56,27,29,0,0
"G1300050","1980","A","3","5","Georgia","13",,"Bacon","005",,,,,,,,,,,,,"08",,,,,,,,"BACON COUNTY","0","0","0","1","1","0","0","1","0","0","0","0","1","1","1","0","0","0","0","0","1",7957,1394,9,1,0,0,0,2,0,2,0,0,0,0,14,52,40,3,1,8
"G1300070","1980","A","3","5","Georgia","13",,"Baker","007",,,,,,,,,,,,,"07",,,,,,,,"BAKER COUNTY","0","0","0","1","1","0","0","1","0","0","0","0","1","1","1","0","0","0","0","0","1",1897,1898,10,0,0,1,0,0,0,0,0,1,0,0,1,40,0,39,1,0
"G1300090","1980","A","3","5","Georgia","13",,"Baldwin","009",,,,,,,,,,,,,"04",,,,,,,,"BALDWIN COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",21533,12980,29,0,0,4,11,15,24,25,0,2,0,0,63,454,257,164,3,30
"G1300110","1980","A","3","5","Georgia","13",,"Banks","011",,,,,,,,,,,,,"03",,,,,,,,"BANKS COUNTY","0","0","0","1","1","0","1","1","0","0","0","0","1","1","0","0","0","0","0","1","1",8254,433,11,0,0,0,0,0,0,4,0,0,0,0,0,33,29,4,0,0
"G1300130","1980","A","3","5","Georgia","13",,"Barrow","013",,,,,,,,,,,,,"03",,,,,,,,"BARROW COUNTY","0","0","0","1","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0",18169,3145,8,0,0,2,5,4,0,6,0,1,1,0,13,143,105,30,0,8
"G1300150","1980","A","3","5","Georgia","13",,"Bartow","015",,,,,,,,,,,,,"01",,,,,,,,"BARTOW COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",35913,4720,61,0,0,6,4,10,1,13,1,5,0,0,26,227,178,34,1,14
"G1300170","1980","A","3","5","Georgia","13",,"Ben Hill","017",,,,,,,,,,,,,"07",,,,,,,,"BEN HILL COUNTY","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1",11133,4833,16,1,0,0,1,1,3,2,0,0,0,0,10,82,37,40,1,4
"G1300190","1980","A","3","5","Georgia","13",,"Berrien","019",,,,,,,,,,,,,"08",,,,,,,,"BERRIEN COUNTY","0","0","0","1","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","1",11783,1691,5,0,5,3,0,4,6,0,7,0,0,0,21,112,64,42,0,6
"G1300210","1980","A","3","5","Georgia","13","4680","Bibb","021",,,,,,,,,,,,,"F",,,,,,,,"BIBB COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",91460,58069,109,0,0,176,42,54,61,47,45,19,2,0,172,1036,507,442,16,71
"G1300230","1980","A","3","5","Georgia","13",,"Bleckley","023",,,,,,,,,,,,,"06",,,,,,,,"BLECKLEY COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",8297,2367,19,0,0,0,4,2,0,5,22,0,0,0,51,107,54,25,1,27
"G1300250","1980","A","3","5","Georgia","13",,"Brantley","025",,,,,,,,,,,,,"09",,,,,,,,"BRANTLEY COUNTY","0","0","0","1","1","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","1",8106,569,11,0,0,0,0,1,2,0,0,1,0,0,11,55,38,14,0,3
"G1300270","1980","A","3","5","Georgia","13",,"Brooks","027",,,,,,,,,,,,,"08",,,,,,,,"BROOKS COUNTY","0","0","0","1","0","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0",8413,6797,12,0,0,6,0,1,1,8,10,1,0,0,6,169,49,119,1,0
"G1300290","1980","A","3","5","Georgia","13","7520","Bryan","029",,,,,,,,,,,,,"09",,,,,,,,"BRYAN COUNTY","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0",7938,2190,16,3,0,0,0,4,1,1,2,0,2,0,18,85,36,31,5,13
"G1300310","1980","A","3","5","Georgia","13",,"Bulloch","031",,,,,,,,,,,,,"08",,,,,,,,"BULLOCH COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",26039,9556,19,0,0,14,13,13,11,33,3,3,1,0,80,335,173,133,3,26
"G1300330","1980","A","3","5","Georgia","13",,"Burke","033",,,,,,,,,,,,,"06",,,,,,,,"BURKE COUNTY","0","0","0","1","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0",8927,10385,4,0,0,6,0,1,2,7,0,1,8,0,8,269,44,214,8,3
"G1300350","1980","A","3","5","Georgia","13","0520","Butts","035",,,,,,,,,,,,,"04",,,,,,,,"BUTTS COUNTY","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0",8267,5353,21,0,0,3,1,0,5,2,0,0,2,0,11,191,56,127,1,7
"G1300370","1980","A","3","5","Georgia","13",,"Calhoun","037",,,,,,,,,,,,,"07",,,,,,,,"CALHOUN COUNTY","0","0","0","1","1","0","1","1","0","0","0","0","1","1","0","0","0","0","0","1","1",2411,3285,9,0,0,0,6,0,0,4,0,2,0,0,0,55,9,46,0,0
"G1300390","1980","A","3","5","Georgia","13",,"Camden","039",,,,,,,,,,,,,"09",,,,,,,,"CAMDEN COUNTY","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1",8993,4290,15,0,0,8,0,34,6,1,0,0,0,0,24,114,66,13,17,18
"G1300430","1980","A","3","5","Georgia","13",,"Candler","043",,,,,,,,,,,,,"08",,,,,,,,"CANDLER COUNTY","0","0","0","1","1","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0",5088,2410,6,0,0,2,0,9,0,2,0,0,0,0,1,92,40,51,0,1
"G1300450","1980","A","3","5","Georgia","13",,"Carroll","045",,,,,,,,,,,,,"03",,,,,,,,"CARROLL COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",46441,9679,67,1,0,10,14,5,25,30,7,2,0,0,65,382,273,79,4,26
"G1300470","1980","A","3","5","Georgia","13","1560","Catoosa","047",,,,,,,,,,,,,"01",,,,,,,,"CATOOSA COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",36528,289,54,0,0,10,10,9,5,10,7,1,3,1,64,231,189,0,7,35
"G1300490","1980","A","3","5","Georgia","13",,"Charlton","049",,,,,,,,,,,,,"09",,,,,,,,"CHARLTON COUNTY","0","0","0","1","1","0","0","1","0","0","0","0","1","1","1","0","0","0","0","0","1",5159,2161,11,0,0,0,0,0,0,0,0,3,0,0,9,39,19,14,0,6
"G1300510","1980","A","3","5","Georgia","13","7520","Chatham","051",,,,,,,,,,,,,"E",,,,,,,,"CHATHAM COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",122333,77310,233,2,2,103,340,119,240,145,392,50,18,11,928,2276,1099,662,53,462
"G1300530","1980","A","3","5","Georgia","13","1800","Chattahoochee","053",,,,,,,,,,,,,"C",,,,,,,,"CHATTAHOOCHEE COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",12905,7048,166,38,0,43,14,70,107,10,13,34,70,41,1173,1529,435,100,62,932
"G1300550","1980","A","3","5","Georgia","13",,"Chattooga","055",,,,,,,,,,,,,"01",,,,,,,,"CHATTOOGA COUNTY","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","1",19914,1887,15,0,0,1,4,0,1,3,8,0,0,0,23,164,131,20,0,13
"G1300570","1980","A","3","5","Georgia","13","0520","Cherokee","057",,,,,,,,,,,,,"03",,,,,,,,"CHEROKEE COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",50324,1116,60,0,3,37,10,11,9,14,11,2,3,0,99,346,285,15,13,33
"G1300590","1980","A","3","5","Georgia","13","0500","Clarke","059",,,,,,,,,,,,,"04",,,,,,,,"CLARKE COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",55684,17568,68,0,1,65,235,121,109,162,12,11,2,3,457,955,546,212,27,170
"G1300610","1980","A","3","5","Georgia","13",,"Clay","061",,,,,,,,,,,,,"07",,,,,,,,"CLAY COUNTY","0","0","0","1","1","0","1","1","0","0","0","0","1","1","0","0","0","0","0","1","1",1330,2208,4,0,0,0,0,3,0,8,0,0,0,0,0,18,3,15,0,0
"G1300630","1980","A","3","5","Georgia","13","0520","Clayton","063",,,,,,,,,,,,,"B",,,,,,,,"CLAYTON COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",137950,10494,337,1,0,79,162,68,361,143,100,22,2,2,636,1617,1224,89,34,270
"G1300650","1980","A","3","5","Georgia","13",,"Clinch","065",,,,,,,,,,,,,"09",,,,,,,,"CLINCH COUNTY","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1",4669,1958,18,0,0,1,0,2,1,6,0,0,0,0,5,58,28,21,6,3
"G1300670","1980","A","3","5","Georgia","13","0520","Cobb","067",,,,,,,,,,,,,"B",,,,,,,,"COBB COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",281625,13055,430,4,5,240,356,184,368,380,103,22,12,1,933,2840,2317,108,68,347
"G1300690","1980","A","3","5","Georgia","13",,"Coffee","069",,,,,,,,,,,,,"08",,,,,,,,"COFFEE COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",19952,6823,18,0,0,5,12,4,0,9,1,0,0,0,70,250,128,93,1,28
"G1300710","1980","A","3","5","Georgia","13",,"Colquitt","071",,,,,,,,,,,,,"08",,,,,,,,"COLQUITT COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",26970,8279,26,0,0,5,16,9,3,18,1,7,0,0,42,362,133,196,9,24
"G1300730","1980","A","3","5","Georgia","13","0600","Columbia","073",,,,,,,,,,,,,"04",,,,,,,,"COLUMBIA COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",33487,5891,57,0,0,60,48,33,139,21,31,21,20,10,300,537,288,50,23,176
"G1300750","1980","A","3","5","Georgia","13",,"Cook","075",,,,,,,,,,,,,"08",,,,,,,,"COOK COUNTY","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1",9362,4090,7,0,0,6,0,1,1,12,0,1,0,0,10,69,21,37,2,9
"G1300770","1980","A","3","5","Georgia","13",,"Coweta","077",,,,,,,,,,,,,"04",,,,,,,,"COWETA COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",28469,10703,32,0,0,11,7,2,5,3,2,5,0,0,29,294,145,139,2,8
"G1300790","1980","A","3","5","Georgia","13",,"Crawford","079",,,,,,,,,,,,,"05",,,,,,,,"CRAWFORD COUNTY","0","0","0","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0",4613,3047,4,0,0,1,0,10,1,0,0,1,0,0,7,79,20,49,5,5
"G1300810","1980","A","3","5","Georgia","13",,"Crisp","081",,,,,,,,,,,,,"07",,,,,,,,"CRISP COUNTY","0","0","0","1","0","0","1","0","0","0","0","0","1","0","1","0","0","0","0","1","0",11778,7645,19,0,0,2,3,5,5,17,0,5,0,0,10,192,61,125,0,6
"G1300830","1980","A","3","5","Georgia","13","1560","Dade","083",,,,,,,,,,,,,"01",,,,,,,,"DADE COUNTY","0","0","0","1","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","1","0",12148,109,14,0,0,10,10,1,11,4,0,0,0,0,11,106,98,0,0,8
"G1300850","1980","A","3","5","Georgia","13",,"Dawson","085",,,,,,,,,,,,,"02",,,,,,,,"DAWSON COUNTY","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0",4733,0,37,0,0,2,0,0,0,1,0,0,0,0,1,3,3,0,0,0
"G1300870","1980","A","3","5","Georgia","13",,"Decatur","087",,,,,,,,,,,,,"07",,,,,,,,"DECATUR COUNTY","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1",15498,9921,24,0,0,3,0,25,3,2,5,4,0,0,10,226,109,103,8,6
"G1300890","1980","A","3","5","Georgia","13","0520","DeKalb","089",,,,,,,,,,,,,"B",,,,,,,,"DE KALB COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",344254,130980,594,3,8,521,1145,208,1270,1100,328,48,8,5,2552,7470,5325,1047,106,992
"G1300910","1980","A","3","5","Georgia","13",,"Dodge","091",,,,,,,,,,,,,"06",,,,,,,,"DODGE COUNTY","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1",12420,4492,9,0,0,2,0,2,9,9,0,0,0,0,12,153,82,66,4,1
"G1300930","1980","A","3","5","Georgia","13",,"Dooly","093",,,,,,,,,,,,,"07",,,,,,,,"DOOLY COUNTY","0","0","0","1","0","0","1","0","0","0","0","0","1","1","1","0","0","0","0","0","0",5520,5278,5,0,0,0,0,0,5,7,0,5,0,0,6,123,26,96,0,1
"G1300950","1980","A","3","5","Georgia","13","0120","Dougherty","095",,,,,,,,,,,,,"07",,,,,,,,"DOUGHERTY COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",56771,43080,238,0,1,78,72,65,33,66,24,25,7,2,256,1156,440,549,38,129
"G1300970","1980","A","3","5","Georgia","13","0520","Douglas","097",,,,,,,,,,,,,"03",,,,,,,,"DOUGLAS COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",51444,2818,112,1,1,18,34,15,14,23,3,1,0,0,89,377,297,26,7,47
"G1300990","1980","A","3","5","Georgia","13",,"Early","099",,,,,,,,,,,,,"07",,,,,,,,"EARLY COUNTY","0","0","0","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0",7458,5681,1,0,0,4,0,4,2,1,0,1,0,0,6,189,41,143,1,4
"G1301010","1980","A","3","5","Georgia","13",,"Echols","101",,,,,,,,,,,,,"09",,,,,,,,"ECHOLS COUNTY","0","0","0","1","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","1",1875,381,40,0,0,0,0,0,0,0,0,0,0,0,1,24,15,7,1,1
"G1301030","1980","A","3","5","Georgia","13","7520","Effingham","103",,,,,,,,,,,,,"09",,,,,,,,"EFFINGHAM COUNTY","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0",14853,3418,18,4,0,3,1,9,6,3,1,0,0,0,11,134,75,53,2,4
"G1301050","1980","A","3","5","Georgia","13",,"Elbert","105",,,,,,,,,,,,,"04",,,,,,,,"ELBERT COUNTY","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0",12930,5767,13,0,0,1,4,6,2,5,0,2,1,0,27,168,75,86,2,5
"G1301070","1980","A","3","5","Georgia","13",,"Emanuel","107",,,,,,,,,,,,,"08",,,,,,,,"EMANUEL COUNTY","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0",14177,6591,5,2,0,2,1,0,7,5,0,0,0,1,4,158,58,100,0,0
"G1301090","1980","A","3","5","Georgia","13",,"Evans","109",,,,,,,,,,,,,"08",,,,,,,,"EVANS COUNTY","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0",5468,2927,5,0,0,0,0,18,0,5,0,0,0,0,5,88,31,41,12,4
"G1301110","1980","A","3","5","Georgia","13",,"Fannin","111",,,,,,,,,,,,,"02",,,,,,,,"FANNIN COUNTY","0","0","1","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0",14691,7,30,0,2,3,0,5,1,6,0,0,0,0,3,92,91,0,1,0
"G1301130","1980","A","3","5","Georgia","13","0520","Fayette","113",,,,,,,,,,,,,"04",,,,,,,,"FAYETTE COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",27591,1276,23,0,0,45,9,8,12,13,6,2,0,2,56,224,181,15,7,21
"G1301150","1980","A","3","5","Georgia","13",,"Floyd","115",,,,,,,,,,,,,"01",,,,,,,,"FLOYD COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",69186,10253,52,0,0,12,13,46,66,47,22,5,0,0,98,545,376,112,5,52
"G1301170","1980","A","3","5","Georgia","13","0520","Forsyth","117",,,,,,,,,,,,,"03",,,,,,,,"FORSYTH COUNTY","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0",27789,1,125,0,1,1,5,3,6,0,0,1,0,0,26,136,125,0,0,11
"G1301190","1980","A","3","5","Georgia","13",,"Franklin","119",,,,,,,,,,,,,"03",,,,,,,,"FRANKLIN COUNTY","0","0","0","1","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","1",13618,1533,9,0,0,2,2,5,0,4,7,0,0,0,5,92,73,14,2,3
"G1301210","1980","A","3","5","Georgia","13","0520","Fulton","121",,,,,,,,,,,,,"B",,,,,,,,"FULTON COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",280334,303508,623,8,13,310,690,256,486,562,493,107,7,15,2492,7574,3916,2556,108,994
"G1301230","1980","A","3","5","Georgia","13",,"Gilmer","123",,,,,,,,,,,,,"02",,,,,,,,"GILMER COUNTY","0","0","0","1","1","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0",11068,22,6,0,0,3,0,2,0,1,0,0,0,0,8,78,69,0,1,8
"G1301250","1980","A","3","5","Georgia","13",,"Glascock","125",,,,,,,,,,,,,"05",,,,,,,,"GLASCOCK COUNTY","0","0","1","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0",1991,389,1,0,1,0,0,0,0,0,0,0,0,0,0,50,29,21,0,0
"G1301270","1980","A","3","5","Georgia","13",,"Glynn","127",,,,,,,,,,,,,"09",,,,,,,,"GLYNN COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",40118,14500,64,0,0,33,24,51,18,35,9,12,1,1,115,511,330,129,16,36
"G1301290","1980","A","3","5","Georgia","13",,"Gordon","129",,,,,,,,,,,,,"01",,,,,,,,"GORDON COUNTY","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1",28662,1322,19,0,0,5,10,0,0,17,10,1,0,0,24,128,101,12,0,15
"G1301310","1980","A","3","5","Georgia","13",,"Grady","131",,,,,,,,,,,,,"07",,,,,,,,"GRADY COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0",13411,6284,108,0,0,7,0,5,3,0,0,2,0,0,25,147,57,70,3,17
"G1301330","1980","A","3","5","Georgia","13",,"Greene","133",,,,,,,,,,,,,"04",,,,,,,,"GREENE COUNTY","0","0","0","1","1","0","1","0","0","0","0","0","0","1","1","0","0","0","0","1","0",5368,5992,11,3,0,1,0,3,3,1,0,0,0,0,9,135,11,117,0,7
"G1301350","1980","A","3","5","Georgia","13","0520","Gwinnett","135",,,,,,,,,,,,,"B",,,,,,,,"GWINNETT COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",161263,4094,198,1,1,134,229,94,185,224,58,10,3,5,404,1426,1213,24,49,140
"G1301370","1980","A","3","5","Georgia","13",,"Habersham","137",,,,,,,,,,,,,"02",,,,,,,,"HABERSHAM COUNTY","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0",23540,1321,84,0,0,11,1,2,2,8,1,3,0,0,47,89,73,5,4,7
"G1301390","1980","A","3","5","Georgia","13",,"Hall","139",,,,,,,,,,,,,"03",,,,,,,,"HALL COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",68471,6821,101,0,1,42,29,3,15,11,33,1,0,1,120,552,444,55,7,46
"G1301410","1980","A","3","5","Georgia","13",,"Hancock","141",,,,,,,,,,,,,"04",,,,,,,,"HANCOCK COUNTY","0","0","0","0","1","0","1","1","0","0","0","0","0","1","1","0","0","0","0","1","1",2054,7406,0,0,0,1,0,1,0,2,0,0,0,0,2,170,2,168,0,0
"G1301430","1980","A","3","5","Georgia","13",,"Haralson","143",,,,,,,,,,,,,"03",,,,,,,,"HARALSON COUNTY","0","0","0","0","1","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","1",17035,1338,15,0,0,2,1,2,5,1,0,0,0,0,23,87,74,8,0,5
"G1301450","1980","A","3","5","Georgia","13",,"Harris","145",,,,,,,,,,,,,"04",,,,,,,,"HARRIS COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0",10086,5303,26,0,0,4,0,7,0,18,0,4,0,0,16,172,76,88,7,1
"G1301470","1980","A","3","5","Georgia","13",,"Hart","147",,,,,,,,,,,,,"04",,,,,,,,"HART COUNTY","0","0","0","1","1","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","1",14434,4126,7,0,0,1,1,0,2,3,1,1,0,0,9,150,65,84,0,1
"G1301490","1980","A","3","5","Georgia","13",,"Heard","149",,,,,,,,,,,,,"03",,,,,,,,"HEARD COUNTY","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","1",5373,1118,17,0,0,1,1,2,4,1,0,0,0,0,3,57,21,34,1,1
"G1301510","1980","A","3","5","Georgia","13","0520","Henry","151",,,,,,,,,,,,,"04",,,,,,,,"HENRY COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",29646,6363,71,0,0,24,5,9,13,29,0,8,2,1,138,279,111,150,13,5
"G1301530","1980","A","3","5","Georgia","13","4680","Houston","153",,,,,,,,,,,,,"G",,,,,,,,"HOUSTON COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",60664,15887,163,6,1,86,56,122,82,69,42,10,9,0,408,1043,614,200,37,192
"G1301550","1980","A","3","5","Georgia","13",,"Irwin","155",,,,,,,,,,,,,"07",,,,,,,,"IRWIN COUNTY","0","0","0","1","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","1","0",6187,2783,2,0,0,2,0,0,0,1,0,0,0,0,13,70,15,45,0,10
"G1301570","1980","A","3","5","Georgia","13","0500","Jackson","157",,,,,,,,,,,,,"03",,,,,,,,"JACKSON COUNTY","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1",22548,2750,17,0,4,3,0,6,3,3,0,0,0,0,9,173,137,28,1,7
"G1301590","1980","A","3","5","Georgia","13",,"Jasper","159",,,,,,,,,,,,,"04",,,,,,,,"JASPER COUNTY","0","0","0","1","1","0","1","0","0","0","0","0","1","1","1","0","0","0","0","0","1",4489,3045,2,0,0,1,2,2,0,2,7,0,0,0,3,86,39,46,0,1
"G1301610","1980","A","3","5","Georgia","13",,"Jeff Davis","161",,,,,,,,,,,,,"08",,,,,,,,"JEFF DAVIS COUNTY","0","0","0","1","1","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1",9627,1824,13,0,0,2,0,3,1,0,0,0,0,0,3,142,118,19,2,3
"G1301630","1980","A","3","5","Georgia","13",,"Jefferson","163",,,,,,,,,,,,,"06",,,,,,,,"JEFFERSON COUNTY","0","0","0","1","0","0","1","0","0","0","0","0","1","0","1","0","0","0","0","1","0",8296,10058,11,0,0,0,6,1,7,3,0,6,0,0,15,268,51,206,0,11
"G1301650","1980","A","3","5","Georgia","13",,"Jenkins","165",,,,,,,,,,,,,"06",,,,,,,,"JENKINS COUNTY","0","0","0","1","1","0","1","0","0","0","0","0","1","1","1","0","0","0","0","1","0",5192,3640,1,0,0,0,0,2,0,0,0,4,0,0,2,136,38,97,0,1
"G1301670","1980","A","3","5","Georgia","13",,"Johnson","167",,,,,,,,,,,,,"06",,,,,,,,"JOHNSON COUNTY","0","0","0","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0",5886,2768,1,0,0,0,0,1,1,0,0,1,0,0,2,96,53,43,0,0
"G1301690","1980","A","3","5","Georgia","13","4680","Jones","169",,,,,,,,,,,,,"04",,,,,,,,"JONES COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0",11499,5013,28,0,0,2,2,5,7,2,0,1,4,0,16,100,58,20,10,12
"G1301710","1980","A","3","5","Georgia","13",,"Lamar","171",,,,,,,,,,,,,"04",,,,,,,,"LAMAR COUNTY","0","0","0","1","1","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0",7956,4219,8,0,0,4,0,1,0,3,0,2,0,0,22,152,47,97,1,7
"G1301730","1980","A","3","5","Georgia","13",,"Lanier","173",,,,,,,,,,,,,"08",,,,,,,,"LANIER COUNTY","0","0","0","1","1","0","0","1","0","0","0","0","1","1","1","0","0","0","0","0","1",4240,1391,13,0,0,1,1,1,1,3,0,0,0,0,3,34,17,13,2,2
"G1301750","1980","A","3","5","Georgia","13",,"Laurens","175",,,,,,,,,,,,,"06",,,,,,,,"LAURENS COUNTY","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0",24698,12190,11,0,0,2,3,8,13,42,3,3,0,0,17,321,129,181,0,11
