fid,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,JOIN_KEY,STATEFP,COUNTYFP,GEOID,GISJOIN,WHITE,BLACK,TOTPOP,POC
997,"17","031","351400","17031351400","3514",Census Tract 3514,G5020,S,323709,0,"+41.8274004",-087.6240890,"17031351400","17","031","17031351400",G17031351400,29,1356,1437,1408
998,"17","031","351500","17031351500","3515",Census Tract 3515,G5020,S,168880,0,"+41.8272742",-087.6277462,"17031351500","17","031","17031351500",G17031351500,33,197,255,222
999,"17","031","380500","17031380500","3805",Census Tract 3805,G5020,S,191451,0,"+41.8200988",-087.6277942,"17031380500","17","031","17031380500",G17031380500,0,723,752,752
1000,"17","031","380700","17031380700","3807",Census Tract 3807,G5020,S,244481,0,"+41.8138060",-087.6237680,"17031380700","17","031","17031380700",G17031380700,23,1165,1243,1220
1001,"17","031","381200","17031381200","3812",Census Tract 3812,G5020,S,258554,0,"+41.8085114",-087.6139992,"17031381200","17","031","17031381200",G17031381200,17,2053,2167,2150
1002,"17","031","381400","17031381400","3814",Census Tract 3814,G5020,S,316691,0,"+41.8076202",-087.6214298,"17031381400","17","031","17031381400",G17031381400,9,1574,1612,1603
1003,"17","031","381500","17031381500","3815",Census Tract 3815,G5020,S,108677,0,"+41.8101927",-087.6228619,"17031381500","17","031","17031381500",G17031381500,2,217,237,235
1005,"17","031","381800","17031381800","3818",Census Tract 3818,G5020,S,319368,0,"+41.8038481",-087.6211978,"17031381800","17","031","17031381800",G17031381800,26,1097,1188,1162
1006,"17","031","381900","17031381900","3819",Census Tract 3819,G5020,S,172690,0,"+41.8039557",-087.6138885,"17031381900","17","031","17031381900",G17031381900,55,1191,1295,1240
1007,"17","031","390100","17031390100","3901",Census Tract 3901,G5020,S,482753,360058,"+41.8135545",-087.5905449,"17031390100","17","031","17031390100",G17031390100,44,1151,1268,1224
1008,"17","031","390200","17031390200","3902",Census Tract 3902,G5020,S,303791,0,"+41.8130410",-087.5994765,"17031390200","17","031","17031390200",G17031390200,130,1534,1840,1710
1009,"17","031","825802","17031825802","8258.02",Census Tract 8258.02,G5020,S,1497069,0,"+41.6263798",-087.5600589,"17031825802","17","031","17031825802",G17031825802,326,4767,5850,5524
1012,"17","031","825803","17031825803","8258.03",Census Tract 8258.03,G5020,S,1745913,0,"+41.6192449",-087.5620435,"17031825803","17","031","17031825803",G17031825803,518,4636,5811,5293
1013,"17","031","821500","17031821500","8215",Census Tract 8215,G5020,S,4164548,452981,"+41.6505610",-087.6360713,"17031821500","17","031","17031821500",G17031821500,52,2216,2341,2289
1014,"17","031","826304","17031826304","8263.04",Census Tract 8263.04,G5020,S,1264300,7638,"+41.6181611",-087.5822761,"17031826304","17","031","17031826304",G17031826304,151,2929,3203,3052
1015,"17","031","430300","17031430300","4303",Census Tract 4303,G5020,S,408973,0,"+41.7696911",-087.5893536,"17031430300","17","031","17031430300",G17031430300,14,2192,2336,2322
1016,"17","031","430400","17031430400","4304",Census Tract 4304,G5020,S,545168,0,"+41.7621777",-087.5903215,"17031430400","17","031","17031430400",G17031430400,21,2778,2892,2871
1017,"17","031","430500","17031430500","4305",Census Tract 4305,G5020,S,337334,0,"+41.7642842",-087.5812736,"17031430500","17","031","17031430500",G17031430500,20,3483,3604,3584
1018,"17","031","430600","17031430600","4306",Census Tract 4306,G5020,S,328336,0,"+41.7643855",-087.5713748,"17031430600","17","031","17031430600",G17031430600,38,1573,1665,1627
1019,"17","031","430700","17031430700","4307",Census Tract 4307,G5020,S,189453,178322,"+41.7649465",-087.5606475,"17031430700","17","031","17031430700",G17031430700,81,1997,2210,2129
1020,"17","031","430800","17031430800","4308",Census Tract 4308,G5020,S,328071,0,"+41.7607500",-087.5712983,"17031430800","17","031","17031430800",G17031430800,18,1693,1763,1745
1021,"17","031","430900","17031430900","4309",Census Tract 4309,G5020,S,336518,0,"+41.7606410",-087.5811851,"17031430900","17","031","17031430900",G17031430900,4,1734,1814,1810
1022,"17","031","431200","17031431200","4312",Census Tract 4312,G5020,S,655295,0,"+41.7553011",-087.5711843,"17031431200","17","031","17031431200",G17031431200,28,2932,3078,3050
1023,"17","031","431400","17031431400","4314",Census Tract 4314,G5020,S,1078730,1126094,"+41.7567077",-087.5419703,"17031431400","17","031","17031431400",G17031431400,145,6015,6418,6273
1024,"17","031","670500","17031670500","6705",Census Tract 6705,G5020,S,622492,0,"+41.7865780",-087.6764044,"17031670500","17","031","17031670500",G17031670500,5,1236,1321,1316
1025,"17","031","670600","17031670600","6706",Census Tract 6706,G5020,S,327032,0,"+41.7830054",-087.6715772,"17031670600","17","031","17031670600",G17031670600,0,1603,1650,1650
1026,"17","031","670700","17031670700","6707",Census Tract 6707,G5020,S,326730,0,"+41.7830686",-087.6667315,"17031670700","17","031","17031670700",G17031670700,7,1422,1491,1484
1027,"17","031","670800","17031670800","6708",Census Tract 6708,G5020,S,326299,0,"+41.7831442",-087.6618790,"17031670800","17","031","17031670800",G17031670800,2,1592,1635,1633
1028,"17","031","670900","17031670900","6709",Census Tract 6709,G5020,S,326291,0,"+41.7832124",-087.6570220,"17031670900","17","031","17031670900",G17031670900,3,1316,1351,1348
1029,"17","031","671100","17031671100","6711",Census Tract 6711,G5020,S,245617,0,"+41.7767815",-087.6617118,"17031671100","17","031","17031671100",G17031671100,6,1221,1259,1253
1030,"17","031","671200","17031671200","6712",Census Tract 6712,G5020,S,244922,0,"+41.7766993",-087.6665823,"17031671200","17","031","17031671200",G17031671200,6,1225,1252,1246
1031,"17","031","671300","17031671300","6713",Census Tract 6713,G5020,S,484665,0,"+41.7739015",-087.6713493,"17031671300","17","031","17031671300",G17031671300,10,2607,2688,2678
1032,"17","031","671400","17031671400","6714",Census Tract 6714,G5020,S,495627,0,"+41.7737921",-087.6762289,"17031671400","17","031","17031671400",G17031671400,4,1985,2072,2068
1033,"17","031","671500","17031671500","6715",Census Tract 6715,G5020,S,741162,0,"+41.7681721",-087.6696322,"17031671500","17","031","17031671500",G17031671500,16,3116,3221,3205
1034,"17","031","671600","17031671600","6716",Census Tract 6716,G5020,S,407247,0,"+41.7694998",-087.6615118,"17031671600","17","031","17031671600",G17031671600,11,2430,2495,2484
1061,"17","031","390300","17031390300","3903",Census Tract 3903,G5020,S,327049,0,"+41.8132006",-087.6042089,"17031390300","17","031","17031390300",G17031390300,71,2561,2743,2672
1062,"17","031","390400","17031390400","3904",Census Tract 3904,G5020,S,326308,0,"+41.8059243",-087.6040582,"17031390400","17","031","17031390400",G17031390400,140,2631,2934,2794
