fid,NHGISST,NHGISCTY,GISJOIN,GISJOIN2,SHAPE_AREA,SHAPE_LEN,JOIN_KEY,GEOID,STATEFP,COUNTYFP,WHITE,BLACK,TOTPOP,POC
545,"170","0310",G17003104307,"17003104307",188489.451813,1784.71129181,G17003104307,"17003104307","17","031",156,2242,2449,2293
546,"170","0310",G17003104314,"17003104314",1073377.17469,5267.81941787,G17003104314,"17003104314","17","031",328,6644,7079,6751
554,"170","0310",G17003107506,"17003107506",1329456.26467,5109.09237796,G17003107506,"17003107506","17","031",22,4792,4848,4826
555,"170","0310",G17003105302,"17003105302",1292072.06196,4825.06512907,G17003105302,"17003105302","17","031",107,7672,7879,7772
556,"170","0310",G17003105303,"17003105303",1293986.70689,4837.84989555,G17003105303,"17003105303","17","031",31,5340,5391,5360
557,"170","0310",G17003105301,"17003105301",642959.648112,3213.74302061,G17003105301,"17003105301","17","031",174,1912,3496,3322
558,"170","0310",G17003105401,"17003105401",9048891.82028,14111.7367729,G17003105401,"17003105401","17","031",120,10527,10821,10701
559,"170","0310",G17003108257,"17003108257",5049959.82634,10329.8173296,G17003108257,"17003108257","17","031",2691,633,3916,1225
571,"170","0310",G17003103801,"17003103801",430400.549998,2695.1456847,G17003103801,"17003103801","17","031",7,2012,2035,2028
572,"170","0310",G17003106101,"17003106101",663838.739622,3273.28552138,G17003106101,"17003106101","17","031",708,101,1056,348
574,"170","0310",G17003106106,"17003106106",965336.633818,4210.78482601,G17003106106,"17003106106","17","031",114,6,231,117
575,"170","0310",G17003103802,"17003103802",203735.134219,2130.96101549,G17003103802,"17003103802","17","031",1,1740,1757,1756
578,"170","0310",G17003105805,"17003105805",992330.128251,4047.82632035,G17003105805,"17003105805","17","031",5077,1,7417,2340
579,"170","0310",G17003103902,"17003103902",302806.482918,2330.81990043,G17003103902,"17003103902","17","031",11,1596,1625,1614
580,"170","0310",G17003103809,"17003103809",253506.51463,2036.0602764,G17003103809,"17003103809","17","031",21,1610,1645,1624
581,"170","0310",G17003103807,"17003103807",244251.570979,2033.51733851,G17003103807,"17003103807","17","031",10,2676,2720,2710
684,"170","0310",G17003106010,"17003106010",180761.616356,1795.80104967,G17003106010,"17003106010","17","031",1165,1,1838,673
700,"170","0310",G17003104601,"17003104601",2988846.70652,10796.9260242,G17003104601,"17003104601","17","031",612,2494,4551,3939
712,"170","0310",G17003103901,"17003103901",482311.351981,3065.37192167,G17003103901,"17003103901","17","031",4,1105,1120,1116
713,"170","0310",G17003103303,"17003103303",147170.922644,1948.28182031,G17003103303,"17003103303","17","031",2,2619,2646,2644
739,"170","0310",G17003106906,"17003106906",914844.871017,3878.87863214,G17003106906,"17003106906","17","031",0,645,647,647
740,"170","0310",G17003106907,"17003106907",124006.913315,2052.80795102,G17003106907,"17003106907","17","031",2,390,394,392
741,"170","0310",G17003106909,"17003106909",640766.864288,3267.21148204,G17003106909,"17003106909","17","031",13,5006,5069,5056
742,"170","0310",G17003106908,"17003106908",639317.131687,3288.85895765,G17003106908,"17003106908","17","031",9,2516,2557,2548
747,"170","0310",G17003106915,"17003106915",668991.704121,3613.51619228,G17003106915,"17003106915","17","031",21,2162,2202,2181
756,"170","0310",G17003106114,"17003106114",320303.417373,2445.83631557,G17003106114,"17003106114","17","031",892,233,3897,3005
761,"170","0310",G17003103510,"17003103510",821108.297194,3751.90963049,G17003103510,"17003103510","17","031",116,3496,3662,3546
762,"170","0310",G17003103604,"17003103604",584620.711989,3297.45587707,G17003103604,"17003103604","17","031",8,1389,1402,1394
764,"170","0310",G17003107302,"17003107302",1873352.02712,5998.2316452,G17003107302,"17003107302","17","031",58,10844,10956,10898
765,"170","0310",G17003104406,"17003104406",657414.106996,3416.23643567,G17003104406,"17003104406","17","031",18,1907,1937,1919
766,"170","0310",G17003104409,"17003104409",752686.15952,3638.57165821,G17003104409,"17003104409","17","031",25,3576,3619,3594
768,"170","0310",G17003107401,"17003107401",899750.21005,5517.78256958,G17003107401,"17003107401","17","031",3209,0,3296,87
769,"170","0310",G17003107501,"17003107501",1276430.19974,4784.80190779,G17003107501,"17003107501","17","031",26,5307,5401,5375
770,"170","0310",G17003106115,"17003106115",490642.720087,3325.98205642,G17003106115,"17003106115","17","031",751,169,2755,2004
771,"170","0310",G17003103817,"17003103817",192856.903994,2095.72015428,G17003103817,"17003103817","17","031",4,4098,4115,4111
772,"170","0310",G17003103818,"17003103818",319329.045721,2391.22733496,G17003103818,"17003103818","17","031",7,1950,1971,1964
776,"170","0310",G17003105501,"17003105501",8215192.24358,14643.0923894,G17003105501,"17003105501","17","031",6163,28,7084,921
810,"170","0310",G17003103304,"17003103304",317266.47366,2401.75505119,G17003103304,"17003103304","17","031",1,17,18,17
812,"170","0310",G17003106002,"17003106002",109673.409914,1532.13682403,G17003106002,"17003106002","17","031",299,4,1059,760
